year,strategy,AAPL,CAT,DIS,GLD,JNJ,JPM,MSFT,NEE,PG,TLT,WMT,XOM
2017,Equal-weight,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833
2017,Min-variance,0.0184,0.0182,0.0498,0.1877,0.0914,0.1431,0.0,0.0,0.0655,0.3751,0.0508,0.0
2017,Max-Sharpe,0.0647,0.0,0.0284,0.0,0.0557,0.2022,0.109,0.0841,0.0,0.4559,0.0,0.0
2018,Equal-weight,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833
2018,Min-variance,0.0274,0.0098,0.0573,0.2172,0.0872,0.162,0.0,0.0,0.0416,0.3431,0.051,0.0032
2018,Max-Sharpe,0.016,0.1038,0.0,0.0968,0.0282,0.217,0.1115,0.1821,0.0,0.2446,0.0,0.0
2019,Equal-weight,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833
2019,Min-variance,0.0059,0.0,0.0545,0.2077,0.027,0.1819,0.0,0.0167,0.055,0.4126,0.0269,0.012
2019,Max-Sharpe,0.0,0.0865,0.0,0.2464,0.0,0.1306,0.0861,0.367,0.0,0.0,0.0833,0.0
2020,Equal-weight,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833
2020,Min-variance,0.0092,0.0,0.0043,0.2236,0.0233,0.1864,0.0,0.0506,0.028,0.3911,0.0313,0.0521
2020,Max-Sharpe,0.0821,0.0,0.0,0.2079,0.0,0.1493,0.068,0.2944,0.0,0.1514,0.0469,0.0
2021,Equal-weight,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833
2021,Min-variance,0.0,0.0333,0.0,0.2234,0.0847,0.0823,0.0,0.0,0.0062,0.4746,0.074,0.0214
2021,Max-Sharpe,0.1919,0.0,0.0095,0.1524,0.0,0.0,0.0903,0.1023,0.0,0.4512,0.0024,0.0
2022,Equal-weight,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833
2022,Min-variance,0.0,0.0552,0.0,0.1816,0.1111,0.0684,0.0,0.0,0.0,0.4585,0.1051,0.0201
2022,Max-Sharpe,0.2427,0.0573,0.0,0.0905,0.0,0.0248,0.0707,0.0263,0.0473,0.4404,0.0,0.0
2023,Equal-weight,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833
2023,Min-variance,0.0,0.0306,0.0,0.2606,0.187,0.0455,0.0,0.0,0.0,0.3844,0.0672,0.0246
2023,Max-Sharpe,0.2891,0.1534,0.0,0.2858,0.0,0.0,0.0,0.0341,0.0,0.0,0.0,0.2375
2024,Equal-weight,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833
2024,Min-variance,0.0,0.0085,0.0006,0.2933,0.2003,0.0822,0.0084,0.0,0.0843,0.2149,0.0712,0.0363
2024,Max-Sharpe,0.0,0.0,0.0,0.0,0.0,0.0,0.3685,0.0,0.0,0.0,0.0,0.6315
2025,Equal-weight,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833
2025,Min-variance,0.0,0.0104,0.0012,0.2942,0.2025,0.061,0.0262,0.0,0.093,0.1812,0.0749,0.0554
2025,Max-Sharpe,0.0,0.0762,0.0,0.2974,0.0,0.0957,0.0,0.0,0.0,0.0,0.3834,0.1472
2026,Equal-weight,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833,0.0833
2026,Min-variance,0.0,0.0,0.0033,0.1916,0.1249,0.0605,0.1072,0.0,0.1264,0.2407,0.0559,0.0894
2026,Max-Sharpe,0.0178,0.0525,0.0,0.4375,0.0108,0.1677,0.0903,0.0,0.0,0.0,0.2235,0.0
